entrance_score,gpa,extracurricular_count,volunteer_hours,gender,caste,region,language,admitted
98,3.1422762224759717,7,63,Male,OBC,South,Hindi,1
88,3.9499822285655046,6,37,Male,SC,East,Hindi,1
74,3.9454299656338794,1,36,Male,ST,West,Tamil,0
67,3.77951418320104,1,10,Male,SC,West,Hindi,0
80,2.9416733381043785,1,99,Female,ST,East,English,0
98,3.077646592902888,5,76,Female,ST,South,Bengali,0
78,3.7767050072752855,5,2,Male,General,North,Bengali,1
82,2.9753830077344166,2,32,Male,OBC,North,English,1
70,2.7542391200291387,2,5,Male,SC,South,Tamil,0
70,3.3352018936875254,1,49,Male,General,West,Tamil,0
83,3.9042321612411715,3,9,Male,SC,West,Bengali,0
95,3.5440446950124596,0,4,Male,ST,West,Hindi,0
99,3.3550917551340476,5,22,Female,OBC,West,Tamil,1
83,2.6457647406561526,3,9,Male,SC,South,Tamil,1
62,3.4225108400487545,4,43,Female,SC,West,English,0
81,3.985080775156395,5,1,Female,ST,East,English,0
61,2.710126022854786,5,12,Male,SC,West,Hindi,0
83,3.277494478545605,2,39,Female,SC,North,Tamil,1
89,3.8160596078919333,0,1,Female,ST,West,Tamil,0
97,3.6111529266313065,0,83,Female,General,South,English,1
61,3.545523611492902,7,64,Female,ST,North,Tamil,0
80,3.553726125980664,6,62,Female,General,South,Bengali,1
92,3.0392367268296328,6,72,Female,OBC,South,English,1
71,2.94038776639674,6,16,Male,General,North,Hindi,0
81,3.7140417332177704,6,8,Female,General,South,English,1
84,3.715170092018771,4,74,Female,OBC,South,Tamil,1
86,3.8006084778701554,4,14,Female,General,West,Hindi,1
87,3.8698608288347067,5,23,Male,ST,East,English,0
75,3.2670135982914066,1,37,Female,General,South,Bengali,1
74,3.2522744420307994,2,34,Male,OBC,South,Bengali,1
62,3.6974427684501627,2,93,Female,ST,South,English,0
96,3.4749458961666475,6,94,Male,OBC,West,Bengali,1
66,3.552950315886555,5,48,Male,OBC,East,Bengali,0
80,3.6936890041541517,7,68,Female,SC,North,Bengali,1
68,3.8350080127263495,3,61,Female,SC,West,Hindi,0
98,3.006992735277304,1,59,Male,OBC,West,Bengali,1
