years_exp,coding_score,education_level,previous_salary,gender,caste,region,language,hired
6,64,PhD,63624,Female,SC,West,English,0
19,81,Bachelors,63321,Female,General,East,Hindi,1
14,70,Bachelors,50488,Female,General,East,Bengali,0
10,93,PhD,62574,Male,SC,South,Bengali,1
7,97,Bachelors,45240,Male,General,West,Bengali,1
6,42,PhD,83221,Male,OBC,East,Hindi,0
18,79,Bachelors,50478,Male,ST,North,Bengali,1
10,85,Bachelors,95645,Female,OBC,East,Hindi,1
10,63,Masters,59262,Female,ST,North,Bengali,0
3,89,Masters,92796,Female,General,South,Hindi,0
7,71,PhD,44432,Male,OBC,North,Tamil,0
2,86,Masters,104291,Female,General,East,Tamil,0
1,61,PhD,119104,Male,ST,East,Tamil,0
11,62,Masters,99399,Female,SC,East,Tamil,0
5,41,Bachelors,119714,Male,SC,South,Tamil,0
1,66,PhD,90428,Male,OBC,South,Bengali,0
0,81,PhD,40302,Female,General,West,Bengali,0
11,41,Bachelors,40055,Female,General,East,Bengali,0
11,65,PhD,48717,Female,OBC,North,Hindi,0
16,56,PhD,68699,Female,SC,South,Hindi,1
9,79,Masters,113686,Male,ST,East,Hindi,1
15,72,PhD,107661,Female,OBC,East,Hindi,1
14,48,Bachelors,84247,Female,ST,South,Tamil,0
14,82,Masters,56748,Female,SC,West,Tamil,1
18,93,Masters,44621,Male,General,South,Tamil,1
11,87,Bachelors,55034,Male,SC,South,English,1
19,78,Bachelors,45126,Female,OBC,North,Bengali,1
2,68,Masters,45122,Male,General,North,Hindi,0
4,81,PhD,58030,Female,OBC,West,Hindi,0
18,94,Masters,95658,Male,OBC,East,Tamil,1
6,65,Bachelors,78638,Male,SC,South,Hindi,1
8,74,Masters,107067,Male,OBC,West,Hindi,1
6,89,Bachelors,74674,Male,SC,North,Bengali,0
17,64,Masters,75854,Female,General,South,Tamil,1
3,63,PhD,86271,Female,SC,East,Bengali,0
13,52,Masters,113688,Female,General,North,English,0
17,99,Masters,78518,Male,SC,North,English,1
8,97,Bachelors,50267,Female,ST,North,English,0
1,46,Bachelors,41062,Female,ST,West,Tamil,0
19,96,Bachelors,90448,Female,OBC,East,Hindi,1
14,75,Masters,46229,Male,SC,South,Tamil,1
