income,credit_score,loan_amount,employment_years,gender,caste,region,language,approved
141958,702,42080,5,Male,ST,West,Hindi,1
35795,429,6324,5,Female,SC,North,Tamil,0
20860,352,30731,22,Male,ST,North,Bengali,0
123694,715,40909,15,Female,SC,East,English,0
148106,546,28803,3,Female,SC,East,English,0
139879,738,24870,29,Male,ST,South,Bengali,1
130268,502,39578,10,Female,SC,West,English,0
96820,483,11588,29,Male,General,West,Hindi,1
74886,422,43069,29,Female,OBC,East,Bengali,0
26265,700,31790,29,Male,SC,South,Tamil,0
102386,593,30289,23,Male,General,West,Bengali,1
148214,579,33178,22,Female,SC,East,Hindi,0
57194,497,33710,8,Male,OBC,North,Hindi,1
107498,810,20485,22,Male,General,West,Bengali,1
132727,443,49482,2,Female,OBC,South,Bengali,1
146324,500,25652,18,Male,OBC,South,English,1
64131,423,9748,7,Male,General,South,Hindi,1
80263,486,26233,4,Female,General,North,Bengali,1
36023,625,14435,3,Female,General,West,Bengali,0
61090,763,8709,23,Male,ST,West,Hindi,0
87221,648,35355,5,Male,General,North,Bengali,1
84820,702,18116,1,Female,General,West,English,1
20769,645,30470,19,Female,General,North,Hindi,0
79735,810,47344,27,Male,General,North,English,1
82955,446,47918,10,Female,SC,North,English,0
84925,447,44298,3,Male,ST,South,English,0
141637,788,47956,14,Male,OBC,West,English,1
87969,637,19683,5,Male,General,North,Hindi,1
25311,772,5504,21,Male,SC,West,English,0
123355,450,38982,16,Male,SC,South,English,0
124724,714,39299,29,Female,SC,North,Bengali,0
103104,597,33016,23,Female,OBC,East,Hindi,0
73707,562,28960,5,Female,General,South,Hindi,1
105305,443,38591,18,Female,ST,East,Tamil,0
48693,645,22312,29,Male,ST,West,Hindi,0
91932,301,42797,24,Male,SC,West,Hindi,0
147723,603,7105,1,Male,OBC,South,Tamil,1
113016,553,41395,14,Male,OBC,West,Hindi,1
126970,752,27700,10,Female,OBC,East,Hindi,1
45658,336,39620,7,Male,ST,North,Hindi,0
104478,459,42678,25,Male,SC,North,Hindi,0
142537,308,25559,18,Female,General,North,Tamil,1
38431,532,32509,12,Female,ST,South,Hindi,0
22747,398,32860,11,Female,SC,West,Hindi,0
143855,507,16003,4,Female,SC,East,Tamil,0
79150,430,26732,5,Male,General,West,Bengali,1
85725,703,30826,25,Male,General,West,English,1
149981,451,35354,21,Female,General,West,Bengali,1
104654,353,18843,3,Male,OBC,North,Tamil,1
55773,419,49472,18,Male,General,East,English,1
139346,719,11190,19,Male,SC,East,Tamil,1
87435,721,22640,0,Female,General,West,Tamil,1
76886,403,43413,19,Male,SC,North,Hindi,0
86803,553,47356,16,Female,ST,North,English,0
51551,526,49597,11,Male,OBC,East,Hindi,1
136216,411,45821,14,Male,ST,North,English,1
31394,809,8330,0,Male,ST,North,Tamil,0
89092,772,24087,25,Female,SC,North,Tamil,0
23890,398,46430,13,Male,ST,South,Bengali,0
61606,452,29504,5,Female,SC,West,English,0
116276,637,12114,4,Female,General,East,Hindi,1
145768,462,18323,29,Female,General,East,Bengali,1
100038,460,39121,10,Male,SC,South,Bengali,0
107313,697,15975,3,Male,General,West,Bengali,1
30627,576,16023,12,Male,OBC,East,Hindi,1
28792,803,26447,10,Male,ST,North,Bengali,0
128859,691,29933,2,Female,OBC,East,Hindi,1
128557,434,28959,0,Female,ST,North,Bengali,0
93969,494,5667,5,Female,General,South,Hindi,1
63001,700,34703,17,Male,OBC,North,Tamil,1
96552,332,14337,23,Female,General,East,Tamil,1
43897,759,41487,9,Male,ST,East,Tamil,0
88148,769,24129,4,Female,SC,East,Tamil,0
141729,674,45251,22,Male,SC,South,Tamil,1
144243,321,36921,9,Male,OBC,South,Bengali,1
140923,337,38307,11,Female,General,West,Bengali,1
140174,529,32355,1,Female,General,East,Bengali,1
43483,664,42732,12,Female,OBC,North,Hindi,0
144358,737,9835,7,Female,SC,South,Hindi,0
68555,582,25159,1,Male,ST,East,Hindi,0
145436,326,43810,19,Female,OBC,East,Hindi,1
37159,525,45080,0,Female,ST,South,Tamil,0
130510,576,43088,4,Female,SC,West,Tamil,0
126530,583,18216,8,Male,General,South,Tamil,1
100077,780,40547,16,Male,SC,South,English,1
55920,752,36471,8,Female,OBC,North,Bengali,0
112067,815,22308,10,Male,General,North,Hindi,1
87121,846,32532,14,Female,OBC,West,Hindi,0
89479,491,39349,23,Male,OBC,East,Tamil,1
109475,348,10713,5,Male,SC,South,Hindi,0
39457,811,9804,22,Male,OBC,West,Hindi,1
86557,316,15136,2,Male,SC,North,Bengali,0
97189,471,5009,29,Female,General,South,Tamil,1
129109,519,24255,16,Female,SC,East,Bengali,0
98953,457,28793,4,Female,General,North,English,1
72995,776,34548,29,Male,SC,North,English,0
60757,345,42892,27,Female,ST,North,English,0
29692,672,6015,11,Female,ST,West,Tamil,0
65758,817,32712,17,Female,OBC,East,Hindi,0
149425,398,39961,13,Male,SC,South,Tamil,1
92409,336,13415,20,Male,SC,West,Tamil,0
91211,579,28833,23,Male,General,West,Hindi,1
85697,648,9158,10,Female,OBC,West,Bengali,0
57065,796,25309,8,Female,SC,North,English,0
112093,601,11970,1,Female,OBC,East,Bengali,1
119299,480,11938,11,Male,ST,West,English,0
149293,398,26168,2,Male,SC,South,Tamil,1
52606,415,25384,2,Female,SC,East,English,0
147791,490,23017,0,Male,OBC,South,Tamil,1
31534,552,15344,7,Male,SC,East,Bengali,0
114663,460,45034,21,Male,OBC,South,Tamil,1
60397,555,13702,27,Male,SC,North,Bengali,0
146678,622,5384,28,Female,General,West,Hindi,1
111387,427,5404,7,Male,OBC,South,Hindi,1
21016,317,45943,10,Male,SC,East,Hindi,0
109789,622,34189,8,Male,ST,West,Tamil,1
75591,587,17763,4,Male,SC,West,Hindi,0
109812,454,23384,13,Female,ST,East,English,0
43247,789,37606,27,Female,ST,South,Bengali,0
44300,685,14860,29,Male,General,North,Bengali,1
94065,403,43757,2,Male,OBC,North,English,1
102798,692,20106,20,Male,SC,South,Tamil,1
29268,545,28574,4,Male,General,West,Tamil,1
106807,475,28524,4,Male,SC,West,Bengali,0
32185,338,8636,18,Male,ST,West,Hindi,0
83704,776,15916,26,Female,OBC,West,Tamil,0
106779,837,9809,13,Male,SC,South,Tamil,1
59099,707,37201,25,Female,SC,West,English,0
28571,824,18456,29,Female,ST,East,English,0
143372,805,43765,3,Male,SC,West,Hindi,1
125512,335,39816,24,Female,SC,North,Tamil,0
58044,319,22100,12,Female,ST,West,Tamil,0
71214,620,26949,9,Female,General,South,English,1
81228,811,9544,24,Female,ST,North,Tamil,0
134752,699,42744,17,Female,General,South,Bengali,1
68984,770,47783,7,Female,OBC,South,English,0
60774,442,31657,7,Male,General,North,Hindi,1
22568,391,41187,6,Female,General,South,English,0
140151,653,12239,7,Female,OBC,South,Tamil,1
82592,350,19489,13,Female,General,West,Hindi,0
87563,489,48125,18,Male,ST,East,English,0
22695,424,33538,28,Female,General,South,Bengali,0
144375,449,37049,5,Male,OBC,South,Bengali,1
68190,613,42131,0,Female,ST,South,English,0
25258,641,47944,22,Male,OBC,West,Bengali,1
107538,604,13427,14,Male,OBC,East,Bengali,1
59504,353,46348,0,Female,SC,North,Bengali,0
53159,743,29285,24,Female,SC,West,Hindi,0
33986,563,42626,16,Male,OBC,West,Bengali,1
81858,352,47808,0,Female,OBC,East,Bengali,0
149312,304,27928,14,Male,OBC,East,Bengali,1
32666,402,24198,22,Male,SC,West,Hindi,0
58660,495,24758,1,Male,SC,North,English,0
23561,649,20254,13,Male,General,West,Tamil,1
46854,346,49238,20,Male,General,East,Bengali,1
84505,568,6252,7,Female,OBC,North,English,0
124488,669,44764,7,Male,ST,East,Bengali,1
72251,405,17173,18,Male,ST,North,Hindi,0
42662,419,42441,6,Female,SC,South,English,0
28392,357,31698,18,Male,SC,East,Hindi,0
50535,645,20781,5,Female,SC,East,Bengali,0
98603,773,18051,5,Female,OBC,West,Bengali,1
133569,416,44649,2,Female,ST,East,Hindi,0
72256,426,11949,6,Male,General,East,Tamil,1
109135,692,47289,18,Male,OBC,South,Hindi,1
147478,357,13017,7,Male,General,East,Bengali,1
55222,812,11941,9,Female,General,South,Hindi,1
97373,395,30934,19,Male,OBC,South,Tamil,1
99575,417,28386,14,Female,General,South,Hindi,1
143684,787,15209,14,Male,ST,South,Tamil,1
116354,536,22715,28,Female,General,North,Tamil,1
104651,571,33920,0,Male,ST,West,Hindi,0
83335,488,36703,19,Male,ST,North,Hindi,0
30965,746,47318,29,Male,ST,East,English,0
44538,546,9637,6,Female,SC,North,Bengali,0
128066,375,9854,26,Female,General,North,Tamil,1
90592,453,48088,3,Male,OBC,East,English,1
118018,734,42660,28,Male,OBC,East,Hindi,1
133252,385,44811,5,Female,General,East,Bengali,1
28110,584,24856,24,Female,SC,North,English,0
99309,519,26833,0,Female,SC,North,Tamil,0
47266,368,24963,28,Male,ST,East,English,0
72992,346,41932,4,Female,General,West,Tamil,0
102948,393,32169,26,Male,General,West,Hindi,1
142073,752,12941,22,Female,OBC,South,Bengali,1
118806,503,19388,0,Male,General,East,Bengali,1
26910,517,10569,29,Female,SC,South,Bengali,0
130989,773,9300,3,Female,General,West,Hindi,1
110982,731,44037,21,Female,OBC,South,Tamil,1
141626,640,41586,1,Female,ST,East,Hindi,0
139176,588,17015,9,Female,OBC,East,Bengali,1
20206,553,11254,4,Male,OBC,East,Hindi,1
107054,656,22144,26,Female,ST,North,Hindi,0
107897,322,29214,9,Female,OBC,South,Hindi,0
142409,821,45118,0,Female,OBC,West,Tamil,1
43419,399,20183,21,Male,General,West,English,1
70636,479,11238,5,Female,General,West,English,0
142546,522,11090,12,Male,ST,North,Hindi,1
134238,741,16637,14,Female,General,North,English,1
70015,624,27415,3,Female,General,East,English,1
137478,815,29071,12,Male,OBC,West,Hindi,1
142096,315,47679,23,Female,SC,North,Hindi,0
127059,635,46240,19,Male,General,East,Bengali,1
74268,557,23271,23,Male,SC,West,English,0
130687,796,41034,14,Female,General,South,Tamil,1
107939,459,38434,28,Male,General,East,Hindi,1
38141,774,9188,7,Female,ST,North,Bengali,0
100356,679,15161,4,Female,ST,North,Tamil,0
125878,844,33732,28,Male,ST,East,English,1
91910,726,16314,14,Male,SC,East,Bengali,0
76044,567,28954,3,Male,OBC,North,Hindi,1
87214,716,26508,11,Male,General,South,Tamil,1
137930,467,26969,12,Female,General,West,Hindi,1
139324,342,42545,1,Female,General,South,English,1
53827,584,41668,26,Male,SC,East,Tamil,0
75820,696,28061,18,Female,ST,South,English,0
82623,311,18716,18,Female,OBC,North,English,0
101734,601,44749,3,Female,SC,East,Bengali,0
95450,552,44144,3,Female,ST,West,Hindi,0
113426,798,21907,25,Male,SC,North,Tamil,1
137845,334,23777,10,Male,OBC,North,English,1
42299,389,32693,26,Female,ST,West,English,0
63585,717,47928,4,Male,SC,West,Tamil,0
129225,414,31329,19,Male,OBC,South,English,1
84044,495,21282,10,Male,General,East,Bengali,1
62557,800,28624,29,Female,OBC,West,Bengali,0
69080,792,28321,9,Female,General,West,Bengali,1
129556,374,15488,7,Female,SC,East,Bengali,0
22693,712,27574,5,Male,ST,West,English,0
115003,675,10240,5,Female,ST,West,Tamil,0
115259,719,48221,7,Female,SC,South,Tamil,0
132235,576,15478,22,Male,ST,North,Tamil,1
89163,693,24262,14,Female,ST,North,Tamil,0
45939,756,9432,25,Female,General,North,Hindi,0
68925,491,34721,13,Male,SC,North,Tamil,0
62941,398,18568,10,Male,OBC,West,Hindi,1
41834,847,19178,11,Male,General,East,Hindi,1
38047,395,27195,25,Female,SC,East,Bengali,0
46105,489,5302,12,Female,General,South,Hindi,0
95766,336,22022,7,Female,OBC,South,English,0
35707,668,5055,29,Male,OBC,West,Hindi,1
41976,824,13717,17,Male,SC,East,Bengali,0
64262,578,33699,24,Female,OBC,East,Hindi,0
145117,516,13150,0,Female,General,North,English,1
43776,572,7125,14,Male,OBC,West,English,1
50080,361,49247,7,Male,General,West,English,1
148376,641,21748,27,Male,General,North,Bengali,1
86842,696,44577,10,Male,OBC,West,Bengali,1
81373,318,9621,11,Female,SC,West,Tamil,0
26776,476,20034,11,Male,ST,South,Bengali,0
112787,695,10126,3,Female,OBC,East,English,1
147948,744,10122,15,Female,General,West,English,1
75016,532,23030,3,Female,General,South,Bengali,1
29474,375,22302,4,Male,OBC,East,Hindi,0
125830,564,24181,23,Male,SC,North,Bengali,1
78053,754,43638,4,Male,SC,South,Bengali,0
41959,683,6531,7,Male,General,South,English,1
25530,805,45940,9,Female,General,East,Tamil,0
114856,666,45441,16,Male,SC,North,English,1
139101,443,28333,27,Male,ST,South,Tamil,1
23748,368,44650,25,Female,OBC,West,English,0
117504,398,39674,8,Male,General,West,Bengali,1
118098,695,40854,21,Female,General,West,English,1
33545,324,13152,18,Female,SC,North,English,0
147659,768,43518,28,Female,OBC,South,English,1
86199,783,15267,13,Female,SC,West,Bengali,0
54766,450,30289,7,Female,OBC,North,Bengali,0
93530,443,6062,8,Female,OBC,West,Bengali,0
113557,338,34926,21,Female,OBC,East,Bengali,0
81087,408,11229,10,Female,General,South,Tamil,1
115839,341,9632,22,Male,ST,South,Tamil,0
136183,485,44056,0,Male,SC,North,Hindi,1
88840,697,8596,13,Male,ST,North,Bengali,0
138451,522,49243,4,Male,SC,South,Tamil,1
74384,432,11168,20,Female,OBC,West,English,0
71005,462,47563,25,Male,General,West,Bengali,1
66576,514,12561,13,Female,ST,East,Hindi,0
59353,534,13258,3,Male,General,West,Hindi,1
82003,308,21616,21,Male,SC,North,Hindi,0
103211,373,31734,22,Male,General,North,English,1
72733,791,11371,24,Female,General,West,Tamil,1
85318,552,31069,0,Male,ST,North,English,0
129953,529,19369,21,Female,OBC,South,Bengali,1
109474,818,17910,22,Female,General,South,Hindi,1
43664,473,12943,18,Male,OBC,West,English,1
87172,467,17199,7,Male,SC,South,English,0
105616,469,20728,14,Male,General,South,Tamil,1
145879,692,28275,20,Female,ST,East,Tamil,0
113264,493,11738,14,Male,SC,East,Hindi,0
135386,816,20913,8,Female,SC,South,English,0
46736,328,40240,20,Female,ST,West,English,0
114209,464,24123,8,Male,General,East,Tamil,1
123041,721,39529,9,Male,General,North,English,1
132859,638,15167,19,Female,SC,North,English,0
132181,795,15554,24,Female,General,North,English,1
20854,664,22260,20,Female,OBC,West,Tamil,0
110084,641,8812,25,Male,ST,South,Hindi,1
58623,799,33024,8,Female,OBC,North,Bengali,0
27392,810,32285,2,Male,General,West,Hindi,1
75680,626,31900,19,Female,SC,East,Bengali,0
